District,Constituency,Population,Voters,Male_Voters,Female_Voters
SIBI,NA-117 -Narowal-III,494130,272892,158277,114615
ZHOB,NA-116 -Narowal-II,468695,271905,160424,111481
ZIARAT,NA-113 -Sialkot-IV,447139,354741,209297,145444
BADIN,NA-224 Badin-I,587364,364248,197002,167246
BADIN,NA-225 Badin-II,561450,304633,173741,130892
DADU,NA-231 Dadu-I,582094,340793,184799,155994
DADU,NA-232 Dadu-II,535355,277302,147108,130194
DADU,NA-233 Dadu-III,571362,329858,169419,160439
GHOTKI,NA-200 Ghotki-I,490004,281609,153828,127781
GHOTKI,NA-201 Ghotki-II,478793,285581,155675,129906
HYDERABAD,NA-218 Hyderabad-I,494244,276824,144399,132425
HYDERABAD,NA-219 Hyderabad-II,471948,236480,128844,107636
HYDERABAD,NA-220 Hyderabad-III,490170,256184,134989,121195
HYDERABAD,NA-221 Hyderabad-IV,404351,223681,118536,105145
HYDERABAD,NA-222 Hyderabad-V,474212,271144,146082,125062
HYDERABAD,NA-223 Hyderabad-VI,493526,278749,148197,130552
JACOBABAD,NA-208 Jacobabad-I,445725,252842,133496,119346
JACOBABAD,NA-209 Jacobabad-II,496157,279740,147443,132297
JACOBABAD,NA-210 Jacobabad-III,462428,288396,156161,132235
KARACHI CENTRAL,NA-245 Karachi-VII,481251,255774,137590,118164
KARACHI CENTRAL,NA-247 Karachi-IX,497354,243006,133850,109156
KARACHI EAST,NA-252 Karachi-XIV,468022,224179,122895,101284
KARACHI EAST,NA-253 Karachi-XV,483005,251489,139480,112009
KARACHI EAST,NA-254 Karachi-XVI,467210,230917,133309,97608
KARACHI EAST,NA-255 Karachi-XVII,5155516,245997,137883,108184
KARACHI EAST,NA-256 Karachi-XVIII,524881,262048,140534,121514
KARACHI SOUTH,NA-248 Karachi-X,494122,225418,126006,99412
KARACHI SOUTH,NA-249 Karachi-XI,491030,250629,135549,115080
KARACHI SOUTH,NA-250 Karachi-XII,492895,205411,120138,85273
KARACHI SOUTH,NA-251 Karachi-XIII,475619,210491,119865,90626
KARACHI WEST,NA-239 Karachi-I,469094,228031,135287,92744
KARACHI WEST,NA-240 Karachi-II,474297,222359,130661,91698
KARACHI WEST,NA-241 Karachi-III,494896,201562,121209,80353
KARACHI WEST,NA-242 Karachi-IV,508342,221287,127639,93588
KARACHI WEST,NA-243 Karachi-V,498935,250670,138518,112152
KARACHI WEST,NA-244 Karachi-VI,461440,236700,128049,108651
KARACHI WEST,NA-246 Karachi-VIII,494344,261736,139106,122630
KHAIRPUR,NA-215 Khairpur-I,516623,302490,156856,145634
KHAIRPUR,NA-216 Khairpur-II,514887,301400,159238,142162
KHAIRPUR,NA-217 Khairpur-III,534130,290832,152107,132725
LARKANA,NA-204 Larkana-I,495827,275703,145732,275703
LARKANA,NA-206 Larkana-III,471805,275346,154410,120936
LARKANA,NA-207 Larkana-IV,466131,252041,132569,119472
LARKANA,NA-205 Larkana-II,1927066,1079377,578888,500489
MALIR,NA-257 Karachi-XIX,503915,256535,145136,111399
MALIR,NA-258 Karachi-XX,496001,263393,145639,117754
MIRPUR KHAS,NA-226 MirpurKhas-I,532239,261149,141658,119491
MIRPUR KHAS,NA-227 MirpurKhas-II,525440,258627,139997,118630
MIRPUR KHAS,NA-228 MirpurKhas-III,510351,265619,142092,123527
NAUSHAHRO FEROZE,NA-211 Nausharo Feroze-I,530815,329813,170854,158959
NAUSHAHRO FEROZE,NA-212 Nausharo Feroze-II,556766,324754,166704,158050
SANGHAR,NA-234 Sanghar-I,464356,241467,128949,112518
SANGHAR,NA-235 Sanghar-II,417276,230238,122436,107802
SANGHAR,NA-236 Sanghar-III,540345,290589,154464,136125
SHAHEED BENAZIRABAD,NA-213 Nawab Shah-I,554876,330639,175578,155061
SHAHEED BENAZIRABAD,NA-214 Nawab Shah-II,516657,305810,157084,148726
SHIKARPUR,NA-202 Shikarpur-I,464174,254942,135946,118996
SHIKARPUR,NA-203 Shikarpur-II,416264,227629,116879,110750
SUKKUR,NA-125 -Lahore-VIII,431685,429115,240304,188811
SUKKUR,NA-126 -Lahore-IX,476658,359342,190451,224029
THARPARKAR,NA-229 Tharparkar-I,460360,256286,141552,114734
THARPARKAR,NA-230 Tharparkar-II,454129,198995,110109,88886
THATTA,NA-237 Thatta-I,583782,329201,187520,141681
THATTA,NA-238 Thatta-II,529412,288408,166872,121536
